3. Strawberry Margarita,"Ingredients : sugar, lime, strawberry. Wash the strawberries and remove their stalks. In a mixer, add the crushed ice and the strawberries. Squeeze the limes. In a bowl, combine the tequila, the cointreau and 2 tbsp of sugar and the lime...",10 min,Very easy,false
. Strawberry pie,"Ingredients : sugar, flour, milk, egg, butter, salt, water, vanilla sugar. DOUGH: Blanch the yolks and sugar with a whisk and dilute the mixture with a little water. Mix flour and butter, cut into small pieces, with your fingers to get a sandy...",15 min,Very easy,true
